test_id,feature_area,route,primary_persona,role_matrix,access_control_checks,frontend_checks,priority,status,notes
QA-0001,Public Marketing,/,Public,"Public|Candidate|Employee|Manager|HR|Finance|Admin|Founder|Locked","Nav visibility; direct URL behavior; redirect behavior","Render/no crash; responsive; keyboard nav; dead-link check",P0,NOT_TESTED,
QA-0002,Public Marketing,/privacy,Public,"Public|Candidate|Employee|Manager|HR|Finance|Admin|Founder|Locked","Public accessible; no auth requirement","Render content; links integrity; mobile layout",P1,NOT_TESTED,
QA-0003,Public Marketing,/terms,Public,"Public|Candidate|Employee|Manager|HR|Finance|Admin|Founder|Locked","Public accessible; no auth requirement","Render content; links integrity; mobile layout",P1,NOT_TESTED,
QA-0004,Public Legal,/legal/data-processing,Public,"Public|Candidate|Employee|Manager|HR|Finance|Admin|Founder|Locked","Public accessible; no auth requirement","Render content; links integrity; mobile layout",P1,NOT_TESTED,
QA-0005,Auth,/login,Public,"Public|Candidate|Employee|Manager|HR|Finance|Admin|Founder|Locked","Unauth only expected; post-login redirect","Validation UX; error states; keyboard flow",P0,NOT_TESTED,
QA-0006,Auth,/register,Public,"Public|Candidate|Employee|Manager|HR|Finance|Admin|Founder|Locked","Unauth only expected; post-register redirect","Validation UX; success state; keyboard flow",P0,NOT_TESTED,
QA-0007,Auth,/register/done,Public,"Public|Candidate|Employee|Manager|HR|Finance|Admin|Founder|Locked","Accessible after register flow","Copy quality; CTA behavior; back nav",P2,NOT_TESTED,
QA-0008,Auth,/forgot-password,Public,"Public|Candidate|Employee|Manager|HR|Finance|Admin|Founder|Locked","Unauth accessible","Validation UX; success/error messaging",P0,NOT_TESTED,
QA-0009,Auth,/set-password,Public,"Public|Candidate|Employee|Manager|HR|Finance|Admin|Founder|Locked","Token/session required behavior","Validation UX; token error state",P0,NOT_TESTED,
QA-0010,Auth,/auth/callback,Public,"Public|Candidate|Employee|Manager|HR|Finance|Admin|Founder|Locked","Callback redirect integrity","No dead-end; clear error fallback",P0,NOT_TESTED,
QA-0011,Auth,/session-choice,Employee,"Employee|Manager|HR|Finance|Admin|Founder","Session role context enforcement","Selection UX; redirect determinism",P1,NOT_TESTED,
QA-0012,Core App,/dashboard,Employee,"Employee|Manager|HR|Finance|Admin|Founder|Locked","Protected route; role-scoped widgets","Loading/empty/error states; responsive",P0,NOT_TESTED,
QA-0013,Core App,/profile,Employee,"Employee|Manager|HR|Finance|Admin|Founder","Protected route","Form save UX; validation; toast states",P1,NOT_TESTED,
QA-0014,Core App,/profile/hr,HR,"HR|Admin","HR/Admin only route access","Data visibility; sensitive sections",P1,NOT_TESTED,
QA-0015,Core App,/settings,Employee,"Employee|Manager|HR|Finance|Admin|Founder","Protected route; section gating by role","Save feedback; unsaved changes behavior",P1,NOT_TESTED,
QA-0016,Core App,/settings/discount-tiers,Admin,"Admin|Finance","Admin/finance route control","Tier form validation; table state",P2,NOT_TESTED,
QA-0017,Core App,/pending,Employee,"Employee|Manager|HR|Finance|Admin|Founder","State page gating","Messaging clarity; CTA behavior",P1,NOT_TESTED,
QA-0018,Core App,/pending-approvals,Manager,"Manager|HR|Admin","Role-restricted route","List states; action controls by role",P1,NOT_TESTED,
QA-0019,Core App,/org-locked,Locked,"Employee|Manager|HR|Finance|Admin|Founder|Locked","Locked-state enforcement","Restricted nav/actions; support CTA",P0,NOT_TESTED,
QA-0020,Core App,/trial-ended,Locked,"Admin|Founder|Locked","Trial state enforcement","Upgrade CTA and blocked behavior",P0,NOT_TESTED,
QA-0021,Core App,/subscription-suspended,Locked,"Admin|Founder|Locked","Suspended state enforcement","Upgrade CTA and blocked behavior",P0,NOT_TESTED,
QA-0022,Core App,/maintenance,Employee,"Employee|Manager|HR|Finance|Admin|Founder|Locked","Maintenance behavior by role","Message and fallback route",P1,NOT_TESTED,
QA-0023,Calendar,/calendar,Employee,"Employee|Manager|HR|Finance|Admin|Founder","Protected route; action controls by role","Event CRUD; RSVP; filter states",P0,NOT_TESTED,
QA-0024,Notifications,/notifications/calendar,Employee,"Employee|Manager|HR|Finance|Admin|Founder","Protected route","Read/unread state; badge sync",P1,NOT_TESTED,
QA-0025,Notifications,/notifications/leave,Employee,"Employee|Manager|HR|Finance|Admin|Founder","Protected route","Read/unread state; list integrity",P1,NOT_TESTED,
QA-0026,Notifications,/notifications/recruitment,HR,"HR|Manager|Admin","Role-scoped visibility","Feed state; empty/error handling",P1,NOT_TESTED,
QA-0027,Notifications,/notifications/hr-metrics,HR,"HR|Admin","Role-scoped visibility","Feed state; empty/error handling",P1,NOT_TESTED,
QA-0028,Notifications,/notifications/applications,HR,"HR|Manager|Admin","Role-scoped visibility","Feed state; empty/error handling",P1,NOT_TESTED,
QA-0029,Broadcasts,/broadcasts,Employee,"Employee|Manager|HR|Finance|Admin|Founder","Protected route","List loading; pagination/filter; no crash",P1,NOT_TESTED,
QA-0030,Broadcasts,/broadcasts/[id],Employee,"Employee|Manager|HR|Finance|Admin|Founder","Protected route; record visibility","Detail render; reply UX; error states",P1,NOT_TESTED,
QA-0031,Broadcasts,/broadcasts/[id]/edit,Admin,"Admin|HR|Author","Edit permission enforcement","Form validation; save flow",P1,NOT_TESTED,
QA-0032,Attendance,/attendance,Employee,"Employee|Manager|HR|Finance|Admin|Founder","Protected route; self vs elevated actions","Clock in/out UX; duplicate action guard",P0,NOT_TESTED,
QA-0033,Rota,/rota,Employee,"Employee|Manager|HR|Admin","Protected route; edit controls by role","Schedule render; filter states",P1,NOT_TESTED,
QA-0034,Leave,/leave,Employee,"Employee|Manager|HR|Admin","Protected route","Request flow; validation; status chips",P1,NOT_TESTED,
QA-0035,Performance,/performance,Employee,"Employee|Manager|HR|Admin","Protected route","Review list states and role controls",P1,NOT_TESTED,
QA-0036,Performance,/performance/[reviewId],Employee,"Employee|Manager|HR|Admin","Record-level access enforcement","Detail state transitions and form UX",P1,NOT_TESTED,
QA-0037,OneOnOnes,/one-on-ones,Employee,"Employee|Manager|HR|Admin","Protected route; participant visibility","List states; action controls",P1,NOT_TESTED,
QA-0038,OneOnOnes,/one-on-ones/[meetingId],Employee,"Employee|Manager|HR|Admin","Participant-only record visibility","Notes/privacy behavior and save states",P1,NOT_TESTED,
QA-0039,Resources,/resources,Employee,"Employee|Manager|HR|Finance|Admin|Founder","Protected route; visibility by role","List/search/filter/empty states",P1,NOT_TESTED,
QA-0040,Resources,/resources/new,Admin,"Admin|HR|Manager","Create permission enforcement","Validation and submit UX",P1,NOT_TESTED,
QA-0041,Resources,/resources/[id],Employee,"Employee|Manager|HR|Finance|Admin|Founder","Record visibility enforcement","Detail render; broken file handling",P1,NOT_TESTED,
QA-0042,Reports,/reports,Manager,"Manager|HR|Finance|Admin","Reports permission enforcement","Create/run/export/pin flow UX",P0,NOT_TESTED,
QA-0043,Finance,/finance,Finance,"Finance|Admin","Finance-only route enforcement","Cards/data states and navigation",P1,NOT_TESTED,
QA-0044,Finance,/finance/timesheets,Finance,"Finance|Admin","Finance-only route enforcement","Filter/period states; list integrity",P1,NOT_TESTED,
QA-0045,Finance,/finance/wagesheets,Finance,"Finance|Admin","Finance-only route enforcement","Totals/rounding/period switch UX",P1,NOT_TESTED,
QA-0046,Finance,/finance/attendance-settings,Finance,"Finance|Admin","Finance-only route enforcement","Settings form and feedback states",P1,NOT_TESTED,
